,Profession,Position,Join Date,Renewal Date,user_ID,chapter_ID,sponsor_ID
57,"Financial, Equipment leasing",,01/10/2010,01/10/2011,736,22,
58,"Alternative Medicine, Acupuncture",,01/10/2010,01/10/2012,1989,22,1992.0
59,"Accounting, Bookkeeper",,01/10/2010,01/07/2013,1590,22,2376.0
60,"Automotive, Automotive Mechanical Service",,01/11/2010,01/11/2016,2937,22,1850.0
61,"Information Technology, Web Design",,01/10/2010,01/05/2014,818,22,
62,"Marketing, Personalized Greeting Card Service",,01/11/2010,01/11/2011,655,22,436.0
63,"Medical, Chiropractor",,01/11/2010,01/11/2011,1323,22,1425.0
64,"Accounting, Professional Accountant",,01/12/2010,01/12/2012,1446,22,
65,"Entertainment, Entertainment Shows",,01/12/2010,01/12/2012,1163,22,647.0
66,"Signs, Sign Company",,01/02/2011,01/02/2012,2735,22,655.0
67,"Signs, Sign Company",,01/04/2014,01/08/2017,2321,22,
68,"Legal, Lawyer Family Law",,01/03/2011,01/03/2012,1743,22,2156.0
69,"Financial, Bank Services",,14/03/2011,01/08/2010,2363,22,
70,"Financial, Credit Services",,01/04/2011,01/04/2014,2486,22,436.0
71,"Unknown, BNIW_Null",,01/04/2011,01/04/2012,2920,22,1489.0
72,"Health & Wellness, Reflexology",,01/05/2011,01/06/2011,1408,22,
73,"Trades, Painter",,01/06/2011,01/06/2015,1960,22,
74,"Health & Wellness, Fitness Trainer",,01/06/2011,01/06/2012,719,22,254.0
75,"Trades, Heating & A/C",,01/07/2011,01/07/2012,648,22,
76,"Health & Wellness, Massage Therapist",,01/09/2011,01/09/2013,2240,22,
77,"Insurance, Business Insurance",,01/09/2011,01/09/2017,99,22,1425.0
78,"Coach, Health Coach",,01/09/2011,01/09/2014,2116,22,1590.0
79,"Trades, Flooring Sales & Installation",,01/10/2011,01/04/2019,409,22,
80,"Flowers, Florist",,01/12/2011,01/12/2012,388,22,1960.0
81,"Medical, Chiropractor",,01/01/2012,01/06/2014,2804,22,
82,"Entertainment, Entertainment Shows",,01/01/2012,01/01/2014,1668,22,2376.0
83,"Health & Wellness, Energy Work",,01/03/2012,01/03/2013,2866,22,2240.0
84,"Insurance, Property & Casualty Insurance",,01/03/2012,01/03/2013,2078,22,99.0
85,"Media, Social Media",,01/03/2012,01/03/2013,2871,22,818.0
86,"Window, Window Treatment",,01/05/2012,01/05/2013,2220,22,495.0
87,"Legal, Lawyer Family Law",,01/05/2012,01/05/2013,1538,22,2937.0
88,"Employment, Recruiter",,01/06/2012,01/06/2013,827,22,2240.0
89,"Flowers, Florist",,01/06/2012,01/06/2013,523,22,436.0
90,"Photography, Photographer",,01/06/2012,01/06/2013,1858,22,1668.0
91,"Trades, Renovations - Interior",,01/09/2012,01/09/2019,2658,22,739.0
92,"Alternative Medicine, Naturopathic Doctor",,01/10/2012,01/10/2016,2118,22,
93,"Media, Social Media",,28/09/2012,01/03/2013,2946,22,818.0
94,"Interior, Interior Decorator",,01/11/2012,01/11/2013,1411,22,2220.0
95,"Accounting, Professional Accountant",,01/11/2012,01/11/2013,324,22,436.0
96,"Printing, Printer",,01/11/2012,01/11/2013,400,22,436.0
97,"Health & Wellness, Health & Wellness Services",,01/12/2012,01/12/2015,1847,22,2804.0
98,"Medical, Dentist",,01/11/2012,01/11/2013,1279,22,1850.0
99,"Information Technology, Web Design","Sr. Director Consultant, Region Webmaster, Region Wide Access, Director Consultant, Mentoring Coordinator, Membership Committee, Member",01/03/2013,01/05/2021,992,22,
100,"Trades, Garage Doors",,01/03/2013,01/03/2014,2827,22,1960.0
101,"Health & Wellness, Fitness Trainer",,01/03/2013,01/03/2014,1144,22,436.0
102,"Unknown, BNIW_Null",,01/05/2013,01/05/2014,1062,22,1847.0
103,"Unknown, BNIW_Null",,01/06/2013,01/06/2015,1113,22,517.0
104,"Accounting, Bookkeeper",,01/07/2013,01/07/2014,586,22,436.0
105,"Telecommunications, Telecommunications Services",,01/08/2013,01/08/2015,154,22,586.0
106,"Financial, Investment Advisor",,01/08/2013,01/12/2014,1917,22,2376.0
107,"Alternative Medicine, Acupuncture",,01/08/2013,01/08/2014,2384,22,2804.0
108,"Employment, Human Resources",,01/09/2013,01/09/2014,1410,22,2116.0
109,"Photography, Photographer",,01/11/2013,01/11/2015,2810,22,1960.0
110,"Printing, Printer",,01/12/2013,01/12/2014,2025,22,517.0
111,"Health & Wellness, Fitness Trainer",,01/12/2013,01/12/2015,592,22,2376.0
112,"Health & Wellness, Chiropractor",Member,01/01/2014,01/03/2021,1521,22,1847.0
113,"Accounting, Accountant",,01/02/2014,01/02/2018,962,22,409.0
114,"Trades, Heating & A/C",,01/02/2014,01/02/2015,1118,22,409.0
115,"Environmental, Recycling",,01/02/2014,01/02/2015,2332,22,2376.0
116,"Legal, Lawyer Family Law",,01/03/2014,01/03/2015,2583,22,1465.0
117,"Accounting, Bookkeeper",,01/04/2014,01/01/2018,2229,22,962.0
118,"Business, Franchise Sales",,01/04/2014,01/12/2015,36,22,517.0
119,"Trades, Plumber",,01/04/2014,01/04/2016,1393,22,
120,"Financial, Merchant Services /Payment Processing",,01/05/2014,01/05/2015,1877,22,1465.0
121,"Health & Wellness, Massage Therapist",,01/09/2014,01/09/2015,2438,22,
122,"Financial, Investment Advisor",,01/09/2014,01/09/2017,637,22,1850.0
123,"Insurance, Life Insurance",,01/11/2014,01/11/2016,2581,22,436.0
124,"Employment, Employment Services",,01/11/2014,01/11/2015,645,22,409.0
125,"Construction, Roofing & Gutters","Mentoring Coordinator, Member",01/02/2015,01/02/2022,2757,22,409.0
126,"Business, Franchise Sales",,13/02/2015,01/04/2015,2946,22,517.0
127,"Trades, Electrician",,01/03/2015,01/03/2017,297,22,1847.0
128,"Printing, Printer",,01/05/2015,01/05/2018,741,22,2321.0
129,"Real Estate, Real Estate Sales Representative Commercial",,01/05/2015,01/05/2018,234,22,962.0
130,"Travel, Travel Agent",,01/06/2015,01/06/2016,2140,22,645.0
131,"Health & Wellness, Hypnotherapist","Member, Chapter Webmaster",01/08/2015,01/02/2022,487,22,409.0
132,"Trades, Painter",,01/10/2015,01/10/2016,1960,22,962.0
133,"Real Estate, Home Inspector",,01/11/2015,01/11/2016,2349,22,2658.0
134,"Flowers, Florist",,01/12/2015,01/06/2017,1688,22,1850.0
135,"Health & Wellness, Massage Therapist",,01/12/2015,01/06/2018,2520,22,1521.0
136,"Finance & Insurance, Residential Mortgages","Membership Committee, Member",01/12/2015,01/12/2021,567,22,2581.0
137,"Trades, Plumber",,01/01/2016,01/01/2017,972,22,741.0
138,"Retail, Utilities",,01/01/2016,01/01/2017,350,22,
139,"Advertising & Marketing, Photographer","Events Co-ordinator, Member",01/02/2016,01/08/2021,2810,22,1960.0
140,"Legal, Lawyer Family Law",,01/02/2016,01/02/2017,1898,22,
141,"Information Technology, Internet Service Provider",,01/04/2016,01/04/2017,454,22,992.0
142,"Office, Office Equipment",,01/04/2016,01/04/2017,708,22,1276.0
143,"Child Services, Day Care",,01/04/2016,01/04/2017,901,22,741.0
144,"Health & Wellness, Fitness Trainer",,01/04/2016,01/04/2018,1519,22,2757.0
145,"Security, Security Services",,01/06/2016,01/09/2017,1006,22,741.0
146,"Legal, Lawyer Family Law",,01/07/2016,01/01/2019,1898,22,874.0
147,"Coach, Business Coach",,01/08/2016,01/01/2018,258,22,
148,"Insurance, Life,Health and Disability Insurance",,01/09/2016,01/09/2017,1671,22,637.0
149,"Information Technology, I.T. Specialist",,01/09/2016,01/09/2017,2102,22,
150,"Legal, Paralegal",,01/11/2016,01/11/2017,479,22,1331.0
151,"Trades, Painter",,01/12/2016,01/12/2017,1960,22,2376.0
152,"Travel, Travel Agent/Consultant",,01/12/2016,01/12/2017,135,22,2757.0
153,"Trades, Painter",,01/10/2016,01/10/2017,1960,22,
154,"Trades, Painter",,01/10/2016,01/10/2017,1960,22,
155,"Insurance, Business Insurance",,01/02/2017,01/02/2020,377,22,2520.0
156,"Telecommunications, Telecommunications Services",,01/04/2017,01/04/2021,230,22,
157,"Automotive, Automotive Mechanical Service",,01/04/2017,01/12/2020,1270,22,1850.0
158,"Architecture & Engineering, Landscape Services",Member,01/05/2017,01/05/2021,333,22,377.0
159,"Marketing, Marketing Strategy",,01/05/2017,01/06/2020,2778,22,258.0
160,"Marketing, Digital Marketing",,01/07/2017,01/07/2018,680,22,992.0
161,"Insurance, Life,Health and Disability Insurance",,01/10/2017,01/10/2018,2867,22,567.0
162,"Financial, Credit Card, Merchant Services",,01/12/2017,01/12/2018,1877,22,992.0
163,"Speaking, Speaker",,01/01/2018,01/01/2019,2376,22,
164,"Business, Business Advisor",,01/03/2018,01/03/2019,2603,22,1850.0
165,"Coach, Life Coach",,01/03/2018,01/07/2019,1443,22,
166,"Consulting, Business",,01/03/2018,01/09/2019,2922,22,1898.0
167,"Trades, Painter",,01/05/2018,01/05/2020,434,22,
168,"Real estate services, Carpet, Upholstery Cleaner",Member,01/05/2018,01/05/2021,2208,22,517.0
169,"Computer & Programming, IT & Networks","Visitor Host, Member",01/05/2018,01/05/2021,107,22,2658.0
170,"Insurance, Life,Health and Disability Insurance",,01/06/2018,01/11/2019,12,22,2867.0
171,"Health & Wellness, Massage Therapist",Member,01/07/2018,01/10/2021,492,22,2810.0
172,"Legal & Accounting, Chartered Professional Accountant (CPA)","Membership Committee, Member",01/10/2018,01/04/2022,310,22,487.0
173,"Health & Wellness, Fitness Trainer",,01/10/2018,01/04/2021,2744,22,492.0
174,"Cleaning, Commercial Cleaning",,01/10/2018,01/11/2020,821,22,
175,"Trades, Electrical Contractor",,01/10/2018,01/10/2019,1637,22,1749.0
176,"Insurance, Life,Health and Disability Insurance",,01/11/2018,01/11/2019,1364,22,1749.0
177,"Health & Wellness, Personal Safety & Self Defense Training",,01/12/2018,01/12/2019,888,22,2810.0
178,"Consulting, Immigration Consultant",,01/12/2018,01/12/2020,1188,22,611.0
179,"Senior Services, In-Home Non-Medical Service",,01/01/2019,01/01/2020,426,22,1850.0
180,"Construction, Plumbing","Visitor Host, Member",01/12/2018,01/12/2021,849,22,434.0
181,"Construction, Commercial Builder/General Contractor",Member,01/01/2019,01/01/2022,249,22,1915.0
182,"Insurance, Employee Benefits-Group",,01/02/2019,01/02/2020,1557,22,
183,"Marketing, Digital Marketing",,01/02/2019,01/02/2020,2746,22,1749.0
184,"Legal & Accounting, Business Law",Member,01/03/2019,01/09/2021,2286,22,
185,"Construction, Energy Services","Education Co-ordinator, Member",01/03/2019,01/03/2021,1156,22,849.0
186,"Finance & Insurance, Financial Advisor/Financial Planner","Vice President, Member",01/04/2019,01/04/2021,677,22,
187,"Coach, Life Coach",,01/05/2019,01/07/2020,74,22,517.0
188,"Legal, Lawyer Real Estate",,01/07/2019,01/07/2020,1488,22,1819.0
189,"Cleaning, Restoration Cleaning",,01/07/2019,01/07/2020,1987,22,
190,"Accounting, Tax Prepare",,01/08/2019,01/08/2020,1793,22,230.0
191,"Accounting, Bookkeeper",,01/08/2019,01/08/2020,1109,22,230.0
192,"Insurance, Property & Casualty Insurance",,01/09/2019,01/09/2020,2677,22,492.0
193,"Legal & Accounting, Bookkeeping","Secretary / Treasurer, Member",01/09/2019,01/09/2021,2698,22,310.0
194,"Construction, Handyman",Member,01/09/2019,01/09/2021,1724,22,2793.0
195,"Consulting, Business",,01/10/2019,01/10/2020,2922,22,
196,"Finance & Insurance, Life,Health and Disability Insurance","President, Member",01/11/2019,01/08/2021,965,22,
197,"Advertising & Marketing, Digital Marketing",Member,01/12/2019,01/04/2021,1068,22,2746.0
198,"Health & Wellness, Health & Wellness Products",,01/12/2019,01/12/2020,486,22,2744.0
199,"Trades, Roofing",,01/12/2019,01/12/2020,2923,22,992.0
200,"Interior, Interior Designer",,01/02/2020,01/02/2021,1946,22,74.0
201,"Consulting, Human potential development and management",,01/02/2020,01/02/2021,2212,22,1633.0
202,"Architecture & Engineering, Interior Architecture",Member,01/02/2020,01/02/2022,2411,22,965.0
203,"Trades, Electrical Contractor","Visitor Host, Member",01/03/2020,01/03/2021,615,22,249.0
204,"Trades, Electrical Contractor",,01/03/2020,01/03/2021,23,22,
205,"Medical, Pharmacist",,01/03/2020,01/03/2021,1872,22,
206,"Construction, Electrician","Visitor Host, Member",01/03/2020,01/03/2021,615,22,249.0
207,"Finance & Insurance, Supplemental Insurance","Visitor Host, Member",01/05/2020,01/05/2021,100,22,965.0
208,"Training & Coaching, Business Training/Coach","Visitor Host, Member",01/08/2020,01/08/2021,1278,22,
209,"Real estate services, Residential Real Estate Agent",Member,01/02/2021,01/02/2022,2461,22,2757.0
210,"Finance & Insurance, Property & Casualty Insurance",Member,01/02/2021,01/02/2022,359,22,100.0
211,"Legal, Lawyer Litigation",,01/03/2007,01/03/2008,1328,40,
212,"Mortgage, Residential Mortgage",,01/01/2007,01/04/2008,2666,40,
213,"Computer, Computer Configuration & Support Services",,01/09/2006,01/09/2008,815,40,
214,"Information Technology, Web Design",,01/10/2006,01/10/2009,1095,40,
215,"Medical, Chiropractor",,01/01/2007,12/03/2010,579,40,982.0
216,"Medical, Chiropractor",,25/03/2010,01/05/2010,579,40,982.0
217,"Health & Wellness, Massage Therapist",,01/01/2007,01/09/2008,2800,40,
218,"Real Estate, Real Estate Sales Representative Residential",,01/01/2007,01/01/2009,957,40,
219,"Printing, Printer",,01/01/2007,01/01/2009,976,40,
220,"Health & Wellness, Fitness Trainer",,01/01/2007,01/01/2008,206,40,
221,"Photography, Photographer",,01/01/2007,01/11/2008,231,40,
222,"Travel, Travel Agent/Consultant",,01/01/2007,01/01/2008,421,40,
223,"Window, Window Treatment",,01/02/2007,01/11/2008,643,40,
224,"Financial, Financial Planner",,01/02/2007,01/02/2009,2712,40,
225,"Embroidery, Embroidery",,01/03/2007,01/03/2008,190,40,815.0
226,"Business, Business Trainer",,01/03/2007,01/11/2008,382,40,1299.0
227,"Financial, Investment Advisor",,01/03/2007,01/06/2008,1099,40,
228,"Gifts, Gift Baskets",,07/04/2008,01/06/2008,898,40,898.0
229,"Unknown, BNIW_Null",,01/04/2007,01/10/2008,2316,40,
230,"Accounting, Bookkeeper",,01/04/2007,01/08/2009,1109,40,
231,"Trades, Renovations-Remodeling",,01/04/2007,01/04/2009,949,40,
232,"Mortgage, Mortgage Broker",,01/06/2007,01/06/2008,1941,40,1014.0
233,"Signs, Sign Company",,01/09/2007,01/02/2009,473,40,2800.0
234,"Legal, Lawyer Litigation",,01/10/2007,01/09/2009,1564,40,1219.0
235,"Health & Wellness, Health & Wellness Products",,01/11/2007,01/11/2009,938,40,957.0
236,"Mortgage, Mortgage Broker",,01/12/2007,01/03/2011,2273,40,957.0
237,"Trades, Renovations-Remodeling",,01/03/2008,01/03/2009,2123,40,976.0
238,"Financial, Investment Advisor",,01/02/2008,01/02/2009,110,40,1402.0
239,"Accounting, Professional Accountant",,01/03/2008,01/03/2009,2413,40,2316.0
240,"Telecommunications, Wireless Service",,01/03/2008,01/03/2009,2425,40,
241,"Flowers, Florist",,01/03/2008,01/03/2009,1498,40,976.0
242,"Entertainment, Entertainment Shows",,01/04/2008,01/01/2010,272,40,
243,"Health & Wellness, Health & Wellness Products",,01/05/2008,01/05/2010,293,40,
244,"Financial, Financial Planner",,01/06/2008,01/06/2009,654,40,2800.0
245,"Trades, Decorative Painter",,01/06/2008,01/07/2010,1242,40,
246,"Travel, Travel Agent/Consultant",,01/06/2008,01/06/2009,2532,40,
247,"Health & Wellness, Fitness Trainer",,01/06/2008,01/05/2010,196,40,
248,"Unknown, BNIW_Null",,01/08/2008,01/08/2009,1511,40,
249,"Insurance, Group Benefits Consultant",,30/10/2008,01/03/2010,1557,40,
250,"Consulting, Marketing Consultant",,26/11/2008,23/01/2009,2946,40,1564.0
251,"Real Estate, Real Estate Sales Representative Residential",,01/12/2008,01/06/2010,1808,40,
252,"Insurance, Property & Casualty Insurance",,01/04/2009,01/02/2011,1342,40,2273.0
253,"Computer, Computer Sales & Service",,01/11/2008,01/02/2011,1596,40,
254,"Alternative Medicine, Naturopath",,01/03/2009,01/03/2010,2506,40,2273.0
255,"Coach, Business Coach",,01/03/2009,01/11/2010,1530,40,
256,"Financial, Financial Planner",,01/04/2009,01/04/2010,744,40,
257,"Real Estate, Real Estate Investments",,01/04/2009,01/12/2010,1878,40,
258,"Interior, Interior Design Residential",,01/06/2009,01/06/2010,735,40,
259,"Printing, Printer",,01/07/2009,01/07/2010,19,40,1808.0
260,"Legal, Lawyer Litigation",,04/02/2010,01/12/2010,1420,40,1219.0
261,"Insurance, Life,Health and Disability Insurance",,01/03/2010,01/06/2011,711,40,
262,"Accounting, Bookkeeper",,27/03/2010,01/06/2011,1507,40,
263,"Coach, Business Coach",,01/06/2010,01/08/2010,265,40,1596.0
264,"Marketing, Promotional Products",,01/06/2010,01/06/2011,1647,40,
265,"Real Estate, Real Estate Sales Representative Residential",,01/08/2010,01/12/2010,2129,40,1342.0
266,"Real Estate, Real Estate Sales Representative Residential",,01/12/2010,01/12/2010,2129,40,1342.0
267,"Entertainment, Music Products & Entertainment Services",,01/08/2010,01/08/2011,2128,40,1342.0
268,"Printing, Printing Services",,01/08/2010,01/12/2010,1165,40,
269,"Medical, Chiropractor",,01/11/2010,01/11/2011,2008,40,
270,"Unknown, BNIW_Null",,01/11/2002,01/02/2009,1552,8,
271,"Flowers, Florist",,01/08/2004,01/08/2005,1054,8,
272,"Real Estate, Real Estate Sales Representative Residential",,01/04/2004,01/10/2005,2777,8,
273,"Unknown, BNIW_Null",,01/02/2003,01/08/2005,1232,8,
274,"Advertising, Radio Advertising",,01/10/2004,01/10/2005,220,8,
275,"Medical, Chiropractor",,01/10/2004,01/10/2008,803,8,
276,"Finance & Insurance, Financial Advisor/Financial Planner",Member,01/05/1998,01/07/2021,420,8,
277,"Interior, Interior Design Residential",,01/10/2004,01/08/2007,56,8,
278,"Marketing, Promotional Products",,01/04/2005,01/06/2009,1416,8,
279,"Advertising & Marketing, Sign Company",Member,01/09/2002,01/06/2021,1299,8,
280,"Information Technology, Internet Service Provider",,14/06/2004,01/08/2005,2159,8,
281,"Legal, Lawyer Business",,01/06/2004,01/06/2013,1516,8,
282,"Mortgage, Mortgage Broker",,08/04/2004,01/10/2010,1586,8,
283,"Unknown, BNIW_Null",,24/03/2005,01/04/2006,1125,8,
284,"Marketing, Promotional Products",,14/06/2004,01/06/2006,1416,8,
285,"Insurance, Property & Casualty Insurance",,24/02/2005,01/03/2007,1649,8,
286,"Computer, Computer Consultant",,21/04/2005,01/05/2006,2869,8,
287,"Trades, Windows",,01/12/2000,01/09/2012,671,8,
288,"Real Estate, Real Estate Sales Representative Residential",,14/06/2004,01/04/2006,2347,8,
289,"Food/Beverages, Chef",,01/04/2001,01/09/2010,1970,8,
290,"Printing, Printer",,01/06/1999,01/09/2013,317,8,
291,"Real Estate, Real Estate Planning Consultant",,29/09/2005,01/06/2007,305,8,
292,"Financial, Banker: Business Development /Loans",,01/10/2006,01/10/2008,1613,8,
293,"Health & Wellness, Massage Therapist",,01/10/2006,01/07/2008,49,8,
294,"Accounting, Professional Accountant",,01/10/2006,01/12/2008,34,8,
295,"Information Technology, Web Hosting & Design",,01/10/2006,01/10/2007,2559,8,
296,"Coach, Business Coach",,01/11/2006,01/02/2018,1140,8,
297,"Computer, Computer Configuration & Support Services",,25/04/2007,01/03/2012,1166,8,
298,"Trades, Flooring Installations",,01/01/2007,01/01/2008,2354,8,
299,"Telecommunications, Telecommunications Products",,01/01/2007,01/01/2008,2159,8,
300,"Travel, Travel Agent/Consultant",,01/01/2007,01/01/2008,2088,8,
301,"Trades, Painter",,01/04/2007,01/04/2008,2829,8,
302,"Computer, Computer Sales & Service",,26/05/2007,05/07/2007,519,8,
303,"Insurance, Property & Casualty Insurance",,01/07/2007,01/05/2015,983,8,1299.0
304,"Real Estate, Real Estate Sales Representative Residential",,01/07/2007,01/07/2009,235,8,1416.0
305,"Security, Security Systems",,01/02/2008,01/02/2009,1529,8,
306,"Accounting, Professional Accountant",,04/03/2008,01/02/2010,98,8,
307,"Automotive, Automotive Repair",,01/03/2008,01/03/2009,1001,8,
308,"Financial, Banker: Business Development /Loans",,17/06/2008,01/02/2010,915,8,
309,"Medical, Chiropractor",,11/09/2008,01/10/2009,2165,8,
310,"Insurance, Group Benefits Consultant",,01/03/2010,11/03/2010,1557,8,
311,"Health & Wellness, Nutritional Supplements",,01/11/2008,01/05/2010,2135,8,
312,"Health & Wellness, Massage Therapist",,01/07/2008,01/01/2010,64,8,
313,"Trades, Handyman",,01/03/2009,01/03/2010,273,8,1516.0
314,"Photography, Photographer",,01/03/2009,01/03/2011,361,8,983.0
315,"Real Estate, Real Estate Sales Representative Residential",,01/04/2009,01/04/2013,2898,8,983.0
316,"Accounting, Bookkeeper",,01/05/2009,01/05/2010,57,8,1970.0
317,"Marketing, Marketing Services",,01/05/2009,01/12/2010,1313,8,1299.0
318,"Trades, Heating/Air Conditioning/Fireplaces",,01/06/2009,01/06/2012,2926,8,
319,"Mortgage, Mortgage Broker",,01/08/2009,01/08/2012,994,8,
320,"Medical, Chiropractor",,01/10/2009,01/10/2010,2527,8,
321,"Financial, Banker: Business Development /Loans",,01/10/2009,01/02/2010,520,8,
322,"Trades, Plumber",,01/10/2009,01/10/2010,1501,8,317.0
323,"Apparel, Clothing Sales",,01/10/2009,01/10/2010,2021,8,1299.0
324,"Trades, Plumber",,01/12/2009,01/12/2010,1610,8,
325,"Trades, Plumber",,15/01/2010,01/10/2010,1610,8,317.0
326,"Automotive, Automotive Repair",,01/02/2010,01/02/2011,61,8,1140.0
327,"Coach, Life Coach",,01/05/2010,01/05/2012,1065,8,1140.0
328,"Accounting, Bookkeeper",,01/07/2010,01/07/2011,1486,8,
329,"Marketing, Promotional Products",,01/08/2010,01/10/2018,2080,8,
330,"Insurance, Employee Benefits-Group",,01/09/2010,01/09/2011,946,8,
331,"Deliveries, Delivery, Courier Service",,01/09/2010,01/09/2011,2642,8,
332,"Accounting, Bookkeeper",,01/10/2010,01/10/2012,2713,8,2080.0
333,"Other, Other",,16/12/2010,01/03/2015,1763,8,489.0
334,"Trades, Flooring Sales & Installation",,01/04/2011,01/04/2012,2593,8,2898.0
335,"Medical, Chiropractor",,01/05/2011,01/07/2013,749,8,2080.0
336,"Health & Wellness, Reflexology",,01/06/2011,01/05/2012,1408,8,
337,"Financial, Equipment leasing",,01/06/2011,01/06/2012,2308,8,
338,"Health & Wellness, Massage Therapist",,01/06/2011,01/11/2012,2257,8,
339,"Alternative Medicine, Acupuncture",,01/06/2011,01/06/2013,1238,8,749.0
340,"Information Technology, Internet Consultant",,01/10/2011,01/10/2012,543,8,
341,"Automotive, Automotive Repair",,01/12/2011,01/09/2013,763,8,
342,"Appearance, Cosmetics, Skin Care",,01/04/2012,01/04/2013,2788,8,1516.0
343,"Coach, Business Coach",,01/09/2013,01/07/2014,2585,8,
344,"Real estate services, Residential Real Estate Agent","President, Member",01/09/2012,01/04/2021,2328,8,1140.0
345,"Mortgage, Residential Mortgage",,28/09/2012,01/02/2017,158,8,
346,"Insurance, Group Benefits Consultant",,28/09/2012,01/04/2014,1751,8,1299.0
347,"Insurance, Commercial Insurance Broker",,01/10/2012,01/04/2014,319,8,1516.0
